Subject,Start,End,Duration
Help with DR4A resourcing,Tue 24/04/2018 2:30 PM,Tue 24/04/2018 3:00 PM,30 minutes
FW: Confirmed: Meeting 24th April: Fonterra AOT:  Machine Learning Pilot Pwd Agg Validation Plan,Tue 24/04/2018 12:30 PM,Tue 24/04/2018 2:00 PM,1.5 hours
"AstraZeneca BE - Discuss feedback from customer, what we need to do and agree on timing.",Tue 24/04/2018 11:30 AM,Tue 24/04/2018 12:30 PM,1 hour
AstraZeneca - Prashant have spoken with Mutaz and we think it's good for us 3 to have a discussion today. I have also sent another invite for the broader team tomorrow,Mon 23/04/2018 1:00 PM,Mon 23/04/2018 2:00 PM,1 hour
Fonterra Schedule Optimisation - Sprint 6 Stabilisation and Handover discussion,Mon 23/04/2018 11:00 AM,Mon 23/04/2018 12:00 PM,1 hour
April Australia Enterprise Services All Hands ,Fri 20/04/2018 3:00 PM,Fri 20/04/2018 4:30 PM,1.5 hours
CONFIRMED - Presentation of the draft budgetary Estimate for the 4 scenario,Fri 20/04/2018 12:00 PM,Fri 20/04/2018 2:00 PM,2 hours
BP TechSync April #3 - SharePoint Online Hub Sites (TECH126AL),Fri 20/04/2018 3:30 AM,Fri 20/04/2018 4:30 AM,1 hour
[WWC Business Analytics]: Community Call (Field Edition) Power BI languages Episode 3 - DAX,Fri 20/04/2018 1:00 AM,Fri 20/04/2018 2:00 AM,1 hour
DAM - Task 1 Part B,Thu 19/04/2018 2:00 PM,Thu 19/04/2018 8:00 PM,6 hours
DAM - Task 1 Part A,Thu 19/04/2018 2:00 PM,Thu 19/04/2018 8:00 PM,6 hours
AstraZeneca Dry Run,Thu 19/04/2018 12:30 PM,Thu 19/04/2018 2:30 PM,2 hours
DRB Meeting for 7-NUBGBSFGQ - AstraZeneca - FY19-SCVS-MCS-AstraZeneca-Optimising Manufacturing,Thu 19/04/2018 9:00 AM,Thu 19/04/2018 9:30 AM,30 minutes
DRB Meeting for 7-NUBGBSFGQ - AstraZeneca - FY19-SCVS-MCS-AstraZeneca-Optimising Manufacturing (8:00-8:30AM),Thu 19/04/2018 8:00 AM,Thu 19/04/2018 8:30 AM,30 minutes
BP TechSync April #1 - SharePoint Framework Coding Deep Dive (TECH124AL),Thu 19/04/2018 3:00 AM,Thu 19/04/2018 4:00 AM,1 hour
BP TechSync April #2 - Drive Microsoft Stream Adoption (TECH125AL),Thu 19/04/2018 1:30 AM,Thu 19/04/2018 2:30 AM,1 hour
BP TechSync April #2 - Drive Microsoft Stream Adoption (TECH125AL),Thu 19/04/2018 1:30 AM,Thu 19/04/2018 2:30 AM,1 hour
BP TechSync April #2 - Drive Microsoft Stream Adoption (TECH125AL),Thu 19/04/2018 1:30 AM,Thu 19/04/2018 2:30 AM,1 hour
Earth Day Responsible Recycle Event-,Wed 18/04/2018 5:00 PM,Wed 18/04/2018 8:00 PM,3 hours
FW: Astra Zeneca BE review,Wed 18/04/2018 5:00 PM,Wed 18/04/2018 5:30 PM,30 minutes
Canceled: DI domain approval for AZ,Wed 18/04/2018 4:30 PM,Wed 18/04/2018 5:00 PM,30 minutes
CompassOne GDPR/Ethics/InfoSec Risk Questionnaire | Drop-in Call (Session 3: America / Asia),Wed 18/04/2018 10:30 AM,Wed 18/04/2018 11:00 AM,30 minutes
FW: WW Community: Ethics Call on GDPR,Wed 18/04/2018 12:00 AM,Wed 18/04/2018 1:00 AM,1 hour
Data Science for Innovation - Wrk,Tue 17/04/2018 6:00 PM,Tue 17/04/2018 9:00 PM,3 hours
Prep,Tue 17/04/2018 5:30 PM,Tue 17/04/2018 6:00 PM,30 minutes
Commute,Tue 17/04/2018 4:30 PM,Tue 17/04/2018 5:30 PM,1 hour
Ramine:Mutaz - AZ estimates,Tue 17/04/2018 3:00 PM,Tue 17/04/2018 3:30 PM,30 minutes
Nik:Mutaz - AZ estimates,Tue 17/04/2018 2:30 PM,Tue 17/04/2018 3:00 PM,30 minutes
Haneesha:Mutaz - AZ estimates,Tue 17/04/2018 2:00 PM,Tue 17/04/2018 2:30 PM,30 minutes
Walkthru on AZ BE deck,Tue 17/04/2018 2:00 PM,Tue 17/04/2018 2:30 PM,30 minutes
Walkthrough on the AZ BE deck  for MA domain,Tue 17/04/2018 11:30 AM,Tue 17/04/2018 12:00 PM,30 minutes
Move parking ,Tue 17/04/2018 11:15 AM,Tue 17/04/2018 11:45 AM,30 minutes
DFSI BRD Azure Bot Opportunity,Mon 16/04/2018 4:30 PM,Mon 16/04/2018 5:00 PM,30 minutes
DSI - Task 1 due,Sun 15/04/2018 2:00 PM,Sun 15/04/2018 8:00 PM,6 hours
CompassOne GDPR/Ethics/InfoSec Risk Questionnaire | Drop-in Call (Session 2: Asia / EMEA),Fri 13/04/2018 4:00 PM,Fri 13/04/2018 4:30 PM,30 minutes
Joe:Mutaz,Fri 13/04/2018 2:30 PM,Fri 13/04/2018 3:30 PM,1 hour
FW: Digital Transformation Status Update,Fri 13/04/2018 2:00 PM,Fri 13/04/2018 3:00 PM,1 hour
How to Edit and Proofread your Assignments,Fri 13/04/2018 1:00 PM,Fri 13/04/2018 2:30 PM,1.5 hours
Content ,Fri 13/04/2018 10:00 AM,Fri 13/04/2018 12:00 PM,2 hours
Canceled: Fonterra deliverables status,Thu 12/04/2018 4:30 PM,Thu 12/04/2018 5:00 PM,30 minutes
AstraZeneca BE Deck Review (meeting room details),Thu 12/04/2018 2:30 PM,Thu 12/04/2018 3:30 PM,1 hour
Canceled:  7-Q2VI7QBZP Queensland Health,Thu 12/04/2018 12:00 PM,Thu 12/04/2018 12:30 PM,30 minutes
DAS Delivery Excellence Insights Call - April (P10FY18),Thu 12/04/2018 11:00 AM,Thu 12/04/2018 12:00 PM,1 hour
CompassOne GDPR/Ethics/InfoSec Risk Questionnaire | Drop-in Call (Session 1: America / EMEA),Thu 12/04/2018 2:00 AM,Thu 12/04/2018 2:30 AM,30 minutes
Office Hours call for Reserved VM Instances,Thu 12/04/2018 1:00 AM,Thu 12/04/2018 2:00 AM,1 hour
"How to Paraphrase, Summarise and Quote in your Assignments",Wed 11/04/2018 5:00 PM,Wed 11/04/2018 6:30 PM,1.5 hours
Commute,Wed 11/04/2018 4:00 PM,Wed 11/04/2018 5:00 PM,1 hour
"Canceled: Announcing Microsoft Business Forward - Melbourne April 11, 2018",Wed 11/04/2018 12:00 PM,Wed 11/04/2018 1:00 PM,1 hour
AZ deck final,Wed 11/04/2018 10:00 AM,Wed 11/04/2018 11:30 AM,1.5 hours
WW Retailers Community Call - April 2018,Wed 11/04/2018 1:00 AM,Wed 11/04/2018 2:00 AM,1 hour
Data Science for Innovation - Wrk,Tue 10/04/2018 6:00 PM,Tue 10/04/2018 9:00 PM,3 hours
Internal sync - KPMG ref. architecture engagement,Tue 10/04/2018 4:00 PM,Tue 10/04/2018 4:30 PM,30 minutes
Planning the workshops for Transpower,Tue 10/04/2018 3:00 PM,Tue 10/04/2018 3:30 PM,30 minutes
Fonterra Status Report and project finalisation,Tue 10/04/2018 2:00 PM,Tue 10/04/2018 2:30 PM,30 minutes
AstraZeneca ,Tue 10/04/2018 1:00 PM,Tue 10/04/2018 2:00 PM,1 hour
Nicole : Mutaz ,Tue 10/04/2018 12:00 PM,Tue 10/04/2018 1:00 PM,1 hour
Commute,Tue 10/04/2018 11:15 AM,Tue 10/04/2018 12:00 PM,45 minutes
All Hands with Judson Althoff,Tue 10/04/2018 10:00 AM,Tue 10/04/2018 10:45 AM,45 minutes
Res. Assigned - Royal Automobile Club of WA | SQL Database Request ID: 780829 | 7-Q4F3TF2C6,Tue 10/04/2018 10:00 AM,Mon 30/04/2018 7:00 PM,489 hours
Material prep,Tue 10/04/2018 9:00 AM,Tue 10/04/2018 10:00 AM,1 hour
PLaceholder for the AZ deck,Mon 9/04/2018 2:00 PM,Mon 9/04/2018 3:00 PM,1 hour
Working session on AZ deck,Mon 9/04/2018 9:30 AM,Mon 9/04/2018 11:00 AM,1.5 hours
DSI - Task 2 Part A,Sun 8/04/2018 2:00 PM,Sun 8/04/2018 8:00 PM,6 hours
DAM Session ,Sat 7/04/2018 9:00 AM,Sat 7/04/2018 5:00 PM,8 hours
MS/KPMG - reference architecture scoping call,Fri 6/04/2018 3:00 PM,Fri 6/04/2018 4:00 PM,1 hour
Employee Q&A with Satya,Fri 6/04/2018 2:45 AM,Fri 6/04/2018 3:30 AM,45 minutes
WW Community Outlook Group Monthly call FY18,Fri 6/04/2018 1:00 AM,Fri 6/04/2018 2:00 AM,1 hour
FW: WW IoT Architecture community new Groups interface features,Fri 6/04/2018 12:30 AM,Fri 6/04/2018 1:00 AM,30 minutes
FW: WW IoT Architecture community new Groups interface features,Fri 6/04/2018 12:30 AM,Fri 6/04/2018 1:00 AM,30 minutes
AZ Questions review,Thu 5/04/2018 1:00 PM,Thu 5/04/2018 2:00 PM,1 hour
TQA Review Assigned for FY18-SVS-ACT-MCS-DHS - ITSM Bot - Phase 2 CRM:0514720 - Initial meeting,Thu 5/04/2018 12:30 PM,Thu 5/04/2018 1:00 PM,30 minutes
clarification questions in the different areas,Thu 5/04/2018 10:30 AM,Thu 5/04/2018 11:30 AM,1 hour
How to write a report,Wed 4/04/2018 5:00 PM,Wed 4/04/2018 6:30 PM,1.5 hours
Fingenics,Wed 4/04/2018 4:30 PM,Wed 4/04/2018 5:00 PM,30 minutes
Bots @ PM&C - internal catch-up,Wed 4/04/2018 4:00 PM,Wed 4/04/2018 4:15 PM,15 minutes
"Astra Zeneca, NZ DF, TNB",Wed 4/04/2018 3:00 PM,Wed 4/04/2018 4:00 PM,1 hour
DHS Bots,Wed 4/04/2018 1:30 PM,Wed 4/04/2018 2:00 PM,30 minutes
Continuation of Enhanced Bot proposition,Wed 4/04/2018 12:30 PM,Wed 4/04/2018 1:30 PM,1 hour
Astra Zeneca,Wed 4/04/2018 12:00 PM,Wed 4/04/2018 12:30 PM,30 minutes
AZ Solution Arch,Wed 4/04/2018 10:00 AM,Wed 4/04/2018 12:00 PM,2 hours
Res. Assigned - Fonterra Co-Operative Group Limited | Power BI Request ID: 777782 | 7-Q2NZHK33a,Wed 4/04/2018 10:00 AM,Fri 29/06/2018 10:00 AM,86 days
Data Science for Innovation - Wrk,Tue 3/04/2018 6:00 PM,Tue 3/04/2018 9:00 PM,3 hours
DHS | Scope Validation,Tue 3/04/2018 3:30 PM,Tue 3/04/2018 4:00 PM,30 minutes
Employee All Hands broadcast,Tue 3/04/2018 3:00 PM,Tue 3/04/2018 3:45 PM,45 minutes
Canceled: AstraZeneca - Safety related Scenario - Discussion around IoT Edge and Fingenics,Tue 3/04/2018 1:30 PM,Tue 3/04/2018 2:00 PM,30 minutes
FW: Microsoft Meeting - Tech Discussion ,Tue 3/04/2018 10:30 AM,Tue 3/04/2018 12:30 PM,2 hours
Easter Monday,Mon 2/04/2018 12:00 AM,Tue 3/04/2018 12:00 AM,1 day
Easter Day,Sun 1/04/2018 12:00 AM,Mon 2/04/2018 12:00 AM,25 hours
Canceled: Astra Zeneca- Sync up calls - BE Deck Deliverable,Wed 28/03/2018 5:00 PM,Wed 28/03/2018 5:30 PM,30 minutes
Bi-weekly Data Insights APJ Drop-in call,Wed 28/02/2018 4:00 PM,Wed 28/02/2018 4:45 PM,45 minutes
AstraZeneca - Weekly internal checkpoint,Fri 15/12/2017 10:00 AM,Fri 15/12/2017 10:30 AM,30 minutes
"PFE, MCS and Architects - Global Data Insight and AI Team Meeting ",Fri 24/11/2017 2:00 AM,Fri 24/11/2017 3:00 AM,1 hour
Bi-weekly APJ Data Science Community Knowledge Sharing,Wed 1/11/2017 4:00 PM,Wed 1/11/2017 5:00 PM,1 hour
Canceled: Services @ Telstra - Weekly Review,Fri 21/07/2017 2:00 PM,Fri 21/07/2017 3:00 PM,1 hour
Layan's Bday ,Tue 1/11/2016 4:00 PM,Tue 1/11/2016 4:30 PM,30 minutes
Prema's birthday,Thu 16/10/2014 8:00 PM,Thu 16/10/2014 8:30 PM,30 minutes
FW: WW IoT Architecture Community calls FY15,Fri 5/09/2014 1:00 AM,Fri 5/09/2014 2:00 AM,1 hour
FW: Information Architecture and EIM Community Call,Thu 17/10/2013 2:30 AM,Thu 17/10/2013 3:30 AM,1 hour
Wetheim - 6030 yearly maintenace,Mon 1/11/2010 10:00 PM,Mon 1/11/2010 10:30 PM,30 minutes
Rent,Sat 1/08/2009 12:00 AM,Sun 2/08/2009 12:00 AM,1 day
Samer Beano's Anniversary,Thu 14/08/2003 12:00 AM,Fri 15/08/2003 12:00 AM,1 day
Samer Beano's Birthday,Fri 6/04/1973 12:00 AM,Sat 7/04/1973 12:00 AM,1 day
